up_streak,up_bigdays_20d,close,range_pct,y21,ma_stack,ma60_slope_60d,end_of_window_ret,max_fwd21_ret,run_length,macd,y5_touch,vol_5d,rsi_14,argmax_day_fwd21,rv_60,bb_z20,macd_hist,ticker,vol_z,atr_pct,macd_sig,dist_ma60_atr,date,sector,sector_pop_5d,finbert_max_5d,finbert_max_20d,finbert_mean_5d,news_n_5d,news_n_20d,earn_news_5d,earn_news_20d,ma_news_5d,ma_news_20d,spy_ret_5d,spy_ret_20d,spy_rv_20,spy_rv_60,vix,vix_chg_5d,fng,close_5d_ago,ret_5d_lag,close_20d_ago,ret_20d_lag,close_60d_ago,ret_60d_lag,close_180d_ago,ret_180d_lag,rsi_14_xrank,rv_60_xrank,ma60_slope_xrank,ret_20d_xrank,max_60d,min_60d,dd_60d,prob_cal,raw_margin,ext_level,ext_reason,ext_safe,ext_priority
1,12.0,180.02000427246094,0.0652700153783026,-1,1,-0.118542383626449,,,19,0.0959470697267861,-1,0.717922744282215,67.01698779183728,-1,1.0107023625363112,0.7535780031509148,0.0012427709232828,CRDO,-1.464159229336647,0.078270233566848,0.0947042988035032,3.7865543257531447,2026-05-01,,0,0.9001637119799852,0.9321112800389528,0.2696783298626542,15.0,60.0,0,1,1,1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,195.0399932861328,-0.07700979045685696,101.4499969482422,0.7744702778483434,96.9499969482422,0.8568335218057463,121.12999725341795,0.48617195041983097,0.8143063583815029,0.9703757225433526,0.18063583815028902,0.9927745664739884,195.0399932861328,87.80999755859375,-0.5497846565767034,0.32085106382978723,0.2902917274318415,EXTREME,"60d +86%, 180d +49%, 20d +77% — multi-leg run already exhausted",False,99
0,8.0,125.56999969482422,0.0733455372051918,-1,1,0.0107609318048458,,,18,0.1244483396729357,-1,1.020605693977088,79.58430268508481,-1,1.0486688346486104,1.1360641513469647,0.0287107163791592,INBX,-0.5549892447382891,0.0991586938803582,0.0957376232937765,3.598489904882951,2026-05-01,,0,0.9326446298509836,0.9326446298509836,-0.2041945921567579,12.0,12.0,1,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,129.05999755859375,-0.02704166999681723,63.52999877929688,0.9765465466330985,82.55999755859375,0.5209544986445256,23.56999969482422,4.32753505815269,0.9653179190751445,0.9747109826589595,0.40534682080924855,0.9963872832369942,131.4499969482422,58.38999938964844,-0.555800679001619,0.32085106382978723,0.28187344737692327,EXTREME,"60d +52%, 180d +433%, 20d +98% — multi-leg run already exhausted",False,99
1,5.0,97.74500274658205,0.0669088007750456,-1,0,0.1460219558531947,,,0,-0.0094542306249296,-1,0.572748937487299,49.104837291219766,-1,1.1856375362080918,-0.0185706118133297,-0.0079469442775581,CRCL,-0.8956275763586646,0.0736880971491188,-0.0015072863473714,0.6096492777786359,2026-05-01,,0,0.9317992981523276,0.9317992981523276,0.2793999906629324,15.0,60.0,0,0,1,1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,99.66000366210938,-0.019215340609659348,90.26000213623048,0.08292710428983119,55.04999923706055,0.7755677402585417,153.16000366210938,-0.3618111751797808,0.3699421965317919,0.986271676300578,0.7817919075144508,0.6221098265895953,132.83999633789062,50.22999954223633,-0.621875934003553,0.32085106382978723,0.2804251381202306,EXTREME,"60d +78%, 180d -36%, 20d +8% — multi-leg run already exhausted",False,99
1,9.0,287.0299987792969,0.0627460887092615,-1,1,0.190596803761329,,,18,0.1085876376701098,-1,1.1423916609858944,82.20496483150103,-1,1.191204029409359,1.6329362341966258,0.0261299317547377,BE,-1.212092031466062,0.0791102080229208,0.0824577059153721,5.11642444529712,2026-05-01,,0,0.9192060511559248,0.93947933614254,0.1364051250740885,15.0,60.0,0,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,231.1699981689453,0.2416403558109108,135.6300048828125,1.1162721259746138,147.35000610351562,0.9479469758396475,44.08000183105469,5.511569574778967,0.9790462427745664,0.9869942196531792,0.8605491329479769,0.9992774566473989,287.9700012207031,119.51000213623048,-0.5849914865103021,0.32085106382978723,0.26890323316086545,EXTREME,"60d +95%, 180d +551%, 20d +112% — multi-leg run already exhausted",False,99
2,11.0,93.6999969482422,0.0847385560299658,-1,1,0.2828655382544802,,,22,0.1236157430594765,-1,0.8152428468325678,69.58762481167219,-1,1.4405907921669372,0.9756422559264588,-0.0068031296523518,AEHR,-0.9821400999843128,0.099862781397472,0.1304188727118283,4.6234554100593055,2026-05-01,,0,0.9248452205210924,0.9395589716732502,0.3299785881613691,15.0,54.0,1,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,95.91000366210938,-0.023042504738640446,44.31999969482422,1.1141696207905136,23.82999992370605,2.9320183486458835,20.15999984741211,3.647817344119189,0.8591040462427746,0.9920520231213873,0.9660404624277457,0.9985549132947977,97.36000061035156,23.0,-0.7637633539871345,0.32085106382978723,0.26772450883676313,EXTREME,"60d +293%, 180d +365%, 20d +111% — multi-leg run already exhausted",False,99
2,8.0,26.18000030517578,0.0878533658364576,-1,1,0.0922937324145809,,,15,0.0741097971050417,-1,1.1316485238484013,74.13881969913899,-1,1.080659593588244,1.5714943039020066,0.0229117201392921,USAR,-0.1096282110015494,0.0901587899462349,0.0511980769657495,2.9400212833825217,2026-05-01,,0,0.928593447431922,0.928593447431922,0.2254963243380189,15.0,60.0,0,1,1,1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,21.86000061035156,0.1976212065052978,15.920000076293944,0.6444723730975188,23.530000686645508,0.11262216494682398,16.989999771118164,0.5409064542590512,0.916907514450867,0.9797687861271677,0.6495664739884393,0.9884393063583815,26.18000030517578,14.229999542236328,-0.45645533321773646,0.32085106382978723,0.19903963166765692,EXTREME,"60d +11%, 180d +54%, 20d +64% — multi-leg run already exhausted",False,99
0,7.0,21.3700008392334,0.0524099576625742,-1,1,0.1357081541010299,,,24,0.1022104080929244,-1,0.5355086009130435,66.58334200912189,-1,1.2762221005510623,0.8689948293938642,0.0032814846069128,SGML,-0.8887923207464624,0.0821478919998783,0.0989289234860116,3.92670582329551,2026-05-01,,0,0.9381372816860676,0.9393162243068218,0.1649079289287328,15.0,48.0,1,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,19.690000534057617,0.08532251191511642,14.369999885559082,0.48712602709961494,12.300000190734863,0.7373984152724349,5.860000133514404,2.6467577393069472,0.8034682080924855,0.9891618497109826,0.7579479768786127,0.976878612716763,22.06999969482422,9.045000076293944,-0.5901676392675643,0.32085106382978723,0.18237100825040548,EXTREME,"60d +74%, 180d +265%, 20d +49% — multi-leg run already exhausted",False,99
4,7.0,227.9900054931641,0.0915390789699036,-1,1,0.1538585608649024,,,18,0.0925856457324126,-1,2.337326004692001,92.1759837031,-1,1.083330841467878,2.401696387587437,0.04311042884055,SIMO,-0.0425992776694855,0.0655103971741472,0.0494752168918625,6.360661608912532,2026-05-01,,0,0.9336915221065284,0.9336915221065284,0.438046488414208,15.0,24.0,0,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,153.4600067138672,0.48566398747956074,113.9000015258789,1.0016681513508416,127.8812255859375,0.7828262471566043,75.90737915039062,2.003528880129842,0.9963872832369942,0.9804913294797688,0.8027456647398844,0.9971098265895953,227.9900054931641,105.4499969482422,-0.537479738551943,0.32085106382978723,0.1701658948851067,EXTREME,"60d +78%, 180d +200%, 20d +100% — multi-leg run already exhausted",False,99
2,10.0,43.02000045776367,0.0729892923346487,-1,1,-0.1483205445209837,,,2,0.0481949101538326,-1,0.6008320336673256,62.008466873694175,-1,1.1806992998443606,0.6564292549664881,-0.0037293026898622,BETR,-0.9199374172920142,0.0966178606090075,0.0519242128436948,2.074040520357058,2026-05-01,,0,0.9084442295134068,0.9384421296417712,0.2473570034839212,15.0,21.0,1,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,42.540000915527344,0.01128348688072367,37.61000061035156,0.14384471575688007,27.530000686645508,0.5626588951969111,17.68000030517578,1.4332579024430028,0.7109826589595376,0.9855491329479769,0.15390173410404626,0.7839595375722543,47.47999954223633,25.270000457763672,-0.4677758908720191,0.32085106382978723,0.13547442219903208,EXTREME,"60d +56%, 180d +143%, 20d +14% — multi-leg run already exhausted",False,99
1,9.0,27.690000534057617,0.085157156500742,-1,0,0.4511105018861673,,,1,0.0068591729036444,-1,0.5154131029653704,57.90099942897555,-1,1.828346057252544,0.5144283769330721,-0.00174124607536,FSLY,-1.0919956277409342,0.0881081395705262,0.0086004189790045,1.9787837157467711,2026-05-01,,0,0.9304498732089996,0.9377079922705888,0.180975001056989,15.0,45.0,0,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,23.76000022888184,0.16540405165478922,33.5,-0.17343281987887715,8.3100004196167,2.3321298599085782,7.239999771118164,2.824585830032575,0.6177745664739884,0.9963872832369942,0.9963872832369942,0.015895953757225433,33.5,7.960000038146973,-0.7623880585627769,0.32085106382978723,0.129163072236492,EXTREME,"60d +233%, 180d +282%, 20d -17% — multi-leg run already exhausted",False,99
